Parallel Lines,Junior Boys
Automatic,Castro
Mr. Jones,Counting Crows
Two Princes,Spin Doctors
Save Tonight,Eagle-Eye Cherry
Good,Better Than Ezra
You Get What You Give,New Radicals
Lump,The Presidents Of The United States Of America
All I Want,Toad The Wet Sprocket
Roll To Me,Del Amitri
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls
Blister in the Sun - 2002 Remastered Version,Violent Femmes
Into Your Arms,The Lemonheads
Hollaback Girl,Gwen Stefani
I Gotta Feeling,The Black Eyed Peas
...Baby One More Time,Britney Spears
Genie In A Bottle (Album Version),Christina Aguilera
Fantasy,Mariah Carey
No Scrubs,TLC
Wannabe - Radio Edit,Spice Girls
Tearin' up My Heart - Radio Edit,*NSYNC
I Try,Macy Gray
Ironic,Alanis Morissette
Smooth,Santana
Pretty Fly (For a White Guy),The Offspring
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys
Remember the Time,Michael Jackson
Girls, Girls, Girls,Mötley Crüe
Don't Stop Me Now - Remastered 2011,Queen
Coming Around Again,Carly Simon
Don't Stop The Music,Rihanna
Survivor,Destiny's Child
Whenever, Wherever,Shakira
Poker Face,Lady Gaga
Complicated,Avril Lavigne
Das Lied Der Schluempfe,Vader Abraham
Against All Odds (Take a Look at Me Now),Mariah Carey
Earth Song - Remastered Version,Michael Jackson
Can I Touch You...There?,Michael Bolton
Lucky,Britney Spears
Believe,Cher
Macarena,Los Del Rio
Ice Ice Baby,Vanilla Ice
Girl You Know It's True,Milli Vanilli
Hoochie Mama,2 LIVE CREW
Fog On the Tyne,Lindisfarne
Cha Cha Slide,Mr. C
How You Remind Me - LP Mix,Nickelback
Burn It To The Ground,Nickelback
Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran
Party Monster,The Weeknd
U got 2 believe,Paulo Mendonca
Sah,Al Massrieen
Work This Body,WALK THE MOON
Tightrope,WALK THE MOON
Different Colors,WALK THE MOON
Avalanche,WALK THE MOON
Jenny,WALK THE MOON
Quesadilla,WALK THE MOON
Paris - Pegboard Nerds Remix,The Chainsmokers
Quit You - Wuki Remix,Lost Kings
Don't Let Me Down - Zomboy Remix,The Chainsmokers
Faded - Slushii Remix,Alan Walker
Can't Get Enough - Pegboard Nerds Remix,Tommie Sunshine
Light - Loosid Remix,San Holo
Something Just Like This - ARMNHMR Remix,The Chainsmokers
Phone Down - Dodge & Fuski Remix,Lost Kings
Call On Me - EDWYNN X TIKAL, Spirix Remix,Starley
Aamon,Kuuro
Hey Baby - Steve Aoki Remix,Dimitri Vegas & Like Mike
Candy,Dillon Francis
